Rang,Interpret,Sprache,Titel,Jahr,text
11,Brings,Kölsch,Jeck Yeah!,2015,"Ich bin joot, ich bin schlääch
Ich bin fies un jerääch
Ich bin brav, ich bin frech
Un steck alles en de Täsch
Ich bin fromm, ich bin frei
Ich bin voll, ich bin high
Ich bin ruud, ich bin schwatz
Bin e Hunk und en Katz
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Jeck Yeah
Jeck Yeah
Yeah yeah yeah yeah yeah
Jeck Yeah

Jeck Yeah
Yeah yeah yeah yeah
Ich bin Buur, ich bin Krat
Ich bin krum, ich bin grad
ich bin fimpschig un neidig
Un vill zo schnell beleidigt
Hungrig un satt
Bin e Deil vun d'r Stadt
Ich bin drosse ich will 'rin
Ich jehür jenau he hin
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Jeck Yeah
Jeck Yeah
Yeah yeah yeah yeah yeah
Jeck Yeah
Jeck Yeah
Yeah yeah yeah yeah

Na na na na na na na na na
Na na na na na na na na
Na na na na na na na na na
Na na na na na na na na
Na na na na na na na na na
Na na na na na na na na
Na na na na na na na na na
Na na na na na na na naa
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Denn mir sin all all all nur Minsche
Et Hätz om rechte Fleck
Denn mir sin all all all nur Minsche
Un en jedem steckt 'ne Kölsche Jeck
Jeck Yeah
Jeck Yeah
Yeah yeah yeah yeah yeah
Jeck Yeah
Jeck Yeah
Yeah yeah yeah yeah"
12,Brings,Kölsch,Halleluja,2009,"Ich han gehoot, et jitt e Leed
Dat jeder kennt un jeder singk
Och wenn do met Musik nix am Hot häs
Egal ob do am fleeje bes
Oder jenoch häs, vun all dem Driss
Nimm dir e Hätz un sing
Halleluja

Halleluja, Halleluja, Halleluja

Do häs jedach et Lääve hät ne Sinn
Alles weed jod, alles haut hin
Un häs do dann di Liehrgeld berappe müsse
Ejal wie deef do jefalle bes,
Wie ramponiert do widder küss
Nimm dir e Hätz un sing Halleluja

Halleluja, Halleluja, Halleluja (2X)

Egal wie secher do dir bes
Wenn ene schwatze Engel ding Siel dir bütz
Nimm dir e Hätz un sing Halleluja

Do häs ne leeve Minsch nevven dir
Alles god im Jetz un Hier
Dä Himmel blau, su wigg ding Auge luure

Halleluja,Halleluja,Halleluja "
13,Querbeat,Kölsch,Nie mehr Fastelovend,2014,"Do wors verkleidt als Schneeleopard
weld am Danze op ding eige Aat
Do wors Kölle en jeder Bewägung
Et es su lang her.

Mir han jede Kneip op der Kopp gestallt
Un jeder hät vun dingem Laache verzallt
Dann han mir uns verlore
em Getümmel om Aldermaat
Un ich sök dich jedes Johr

Met der Trumm Trumm Trumm,
Met der Trumm Trumm Trumm,
Met der Trumm Trumm Trumm
Mer trecke durch de Veedel
met der Trumm Trumm Trumm
Bes mer dich gefungen han
Un ich sag:

Nie mih Fastelovend,
Nie mih rud un wieß
Nie mih Fastelovend - Ohne dich



Dä Typ hinger dir
wor am Baggere wie jeck,
mir han Trone gelaach,
dat wor unse Augenbleck.
Zo nem Leed us de Nineties,
woodt die Naach legend är
Mir han uns gewünsch,
dat et för immer su wör.

Mir han jede Kneip op der Kopp gestallt
Un jeder h ät vun dingem Laache verzallt
Dann han mir uns verlore
em Getümmel om Aldermaat
Un ich sök dich jedes Johr

Met der Trumm Trumm Trumm ...

Un mir trecke met der Trumm
durch de ganze Stadt
bes mer dich gefungen han.
Un mir trecke met der Trumm
durch de ganze Stadt
bes mer dich gefungen han."
14,Carolin Kebekus,Kölsch,Helau,2015,"Helau. Wie fies.
Hätt dä dat grad laut jesat oder han ich mich do verhürt?
Un jetz ben ich schwer irritiert. Ich dachte do und ich dat wääd jet. Ävver su ben ich fott he.
Helau. Dat säht mer nit!
Ich komm us Köllefornia Ihrefeld und do säht mer Alaaf.
Ich fing dich nit mih scharf. Jestern wors Do noch perfek, hück jeit et steil de Berg erav.
Ich kann nur hoffe, dat et minge Famillich nit weiß.
Helau säht dä an Karneval. Und röf dat duch dä janzen Saal.
Dä säht mir dat medden in et Geseech. Wie kann dat sin? Sach mer: Schammst do dich nit?
Helau säht der an Karneval. Und dräht och noch ene Gladbach-Schal.
Dä säht mir dat medden in et Geseech. Wie kann dat sin? Nüchtern halde ich dat nit us.
– Quelle: https://www.ksta.de/23557636 ©2018"
15,Kasalla,Kölsch,Kumm mer lääve,2013,"Kumm mer lääve
bevür mer stirve
als wör dat hück dä letzte Daach
Mer sinn nor eimol hee
schrei et erus esu laut et jeiht
Kumm mer lääve
hück Nach

Ich will nit dran denke wat all passiere künnt
vielleich is jo alles ald längs vürher bestemmp
un mir sinn op dä Reis wie ene blinde Passagier
han keine Plan wohin, wie lang un wofür

Ich will nit länger waade, dat he dat Spill bejinnt
ich will eruss un mir nemme, woför ich jebore ben
loss mer nit lang schwaade, mer han noch esu vill vür
Wo drop waade mir?



Kumm mer lääve
bevür mer stirve
als wör dat hück dä letzte Daach
Mer sinn nor eimol hee
schrei et erus esu laut et jeiht
Kumm mer lääve
hück Nach

Loss mer hück laut sinn, vielleich es morje alles still
Zick kannste Dir nit kaufe, för kei Jeld ejal wie vill
Kumm mer sammele Stäänstunde die uns keiner nemme kann
Dis Naach es noch lang

Kumm mer lääve
bevür mer stirve
als wör dat hück dä letzte Daach
Mer sinn nor eimol hee
schrei et erus esu laut et jeiht
Kumm mer lääve
hück Nach

Kumm!"
16,Bläck Fööss,Kölsch,Drink doch eine met,1971,"'ne ahle Mann steht vür d’r Weetschaftsdüür,
der su jän ens eine drinken däht.
Doch dä hätt vill zu winnig Jeld,
Su lang hä och zällt.

In d'r Weetschaft es die Stimmung jroß,
ävver keiner süht dä ahle Mann,
doch do kütt einer met enem Bier
un sprich en einfach an:

Drink doch eine met, stell dich nit esu ahn.
Du steihs he de janze Zick eröm.
Häs de och kei Jeld, dat es janz ejal,
drink doch met un kümmer dich nit dröm.

Mancher sitz vielleicht allein zu Hus,
dä su jän ens widder laache dät.
Janz heimlich do waat hä nur dodrop,
dat einer zo im sät:"
17,BAP,Kölsch,Verdamp lang her,1981,"Verdamp lang her, dat ich fast alles aehnz nohm (ernst nahm)
Verdamp lang her, dat ich ahn jet jeglaeuv (an etwas geglaubt)
Un dann dae schock, wie't anders op mich zokohm (auf mich zukam)
Merkwuerdich, wo su manche haas langloof (wo so mancher hase langlaeauft)
Nit resigniert, nur reichlich desillusioniert,
E bessje jet hann ich kapiert. (ein bisschen)
Wer alles, wenn dir't klapp, hinger dir herrennt, (wenn es dir gelingt)
Ding schulder klopp, wer dich nit al hofiert
Sich ohne ruut ze wedde dinge froeng nennt, (sich, ohne rot zu werden, dein
Freund)
Un dich daachs drop janz einfach ignoriert (tags drauf)
Et ess lang her, dat ich vuur sujet ratlos stund (vor so etwas)
Un vuur enttaeuschung echt nit mieh kunnt. (echt nicht mehr konnte)
Ich weiss noch, wie ich nur dovun jedraeump hann
Wovunn ich nit woss, wie jet sooke sollt, (wie ich es suchen sollte)
Vuur lauter sookerei et finge jlatt versaeump hann (versaeumt habe)
Un ovverhaup, wat ich wo finge wollt
Ne kopp voll nix, nur die paar instinktive tricks
Et duhrt lang, besste dich durchblicks. (bis du durchblickst)
Dat woor die zick, wo ich noch nit ens pech hat (die zeit)

Noch nit ens dat, ich hatte nit ens satt (noch nicht mal das)
He woor john steinbeck, do stund joseph conrad,
Dozwesche ich - nur relativ schachmatt (dazwischen)
't ess paar johr her, doch die erinnerung faellt nit schwer
Huck kutt mer vuur, als wenn et jestern woor. (heute kommt's mir vor)
Verdamp lang her, verdamp lang, verdamp lang her,
Verdamp lang her, verdamp lang, verdamp lang her.
Froochs mich, wann ich zoletz e bild jemolht hann, (fragst mich)
Ob mir e leed tatsaechlich jetz jenusch, (jetzt genuegt)
Ob ich jetz do benn, wo ich hinjewollt hann,
Ob mir ming faerv op die tour nit verdruesch (farbe ... nicht vertrocknet)
Ich glaeuv, ich weiss, ob de nu laut mohls oder leis (laut malst oder leise)
't kutt nur drop ahn, dat do et deiss. (es kommt drauf an, dass du es tust)
Verdamp lang her, verdamp lang, verdamp lang her,
Verdamp lang her, verdamp lang, verdamp lang her.
Verdamp lang her, verdamp lang, verdamp lang her,
Verdamp lang her, verdamp lang, verdamp lang her.
Verdamp lang her, verdamp lang, verdamp lang her,
Verdamp lang her, verdamp lang, verdamp lang her.

Verdammt lange her, dass ich fast alles ernst nahm
Verdammt lange her, dass ich an etwas geglaubt
Und dann der schock, als es anders auf mich zukam
Merkwuerdig, wo so mancher hase entlanglaeuft
Nicht resigniert, nur reichlich desillusioniert
Ein bisschen 'was habe ich kapiert
Wer alles, wenn es bei dir klappt, hinter dir herrennt
Auf deine schulter klopft, wer dich nicht alles hofiert
Sich ohne rot zu werden dein freund nennt
Und dich tags darauf ganz einfach ignoriert
Es ist lange her, dass ich vor so etwas ratlos stand
Und vor enttaeuschung echt nicht mehr konnte
Ich weiss noch, wie ich nur davon getraeumt habe
Wovon ich nicht wusste, wie ich es suchen sollte
Vor lauter sucherei das finden glatt versaeumt habe
Und ueberhaupt, was ich wo finden wollte
Einen kopf voller nichts, nur die paar instinktiven tricks
Es dauert lange, bis du dich durchblickst
Das war die zeit, als ich noch nicht einmal pech hatte
Noch nicht einmal das, ich hatte es nicht einmal satt
Hier war john steinbeck, da stand joseph conrad
Dazwischen ich - nur relativ schachmatt
Es ist ein paar jahre her, doch die erinnerung faellt nicht schwer
Heute kommt es mir vor, als waere es gestern gewesen
Verdammt lange her, verdammt lange...
Fragst mich, wann ich zuletzt ein bild gemalt habe
Ob mir ein lied tatsaechlich jetzt genuegt
Ob ich jetzt da bin, wo ich hingewollt habe
Ob mir meine farbe auf die tour nicht vertrocknet
Ich glaube, ich weiss, ob du nun laut malst oder leise
Es kommt nur darauf an, dass du es tust"
18,Trude Herr,Hochdeutsch,Niemals geht man so ganz,1987,"Wenn man Abschied nimmt
geht nach unbestimmt
mit dem Wind wie Blätter wehn.

Singt met Abschiedsleed
dat sich om Fernweh drieht
om Horizonte, Salz un Teer.

Wer singe Püngel schnürt
söök wo'e hinjehührt
hätt wie ne Zochvuel nit nur ei Zohuss.

Man lässt vieles hier
Freund ich danke dir
für den Kuss, den letzten Gruß.

Ich will weitergehn
keine Träne sehn
so ein Abschied ist lang noch kein Tod.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.



Wenn't och noch su sticht,
stutz die Flüjel nit
dämm, dä in de Käld kein Zokunft sieht.

Mach 'nem Vagabund
doch et Hätz nit wund,
fleech e Stöck met op singem Wääsch.

Doch dann lass' mich los
sieh die Welt ist groß
ohne Freiheit bin ich fast schon wie tot.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Ich verspreche hier
bin zurück bei dir
wenn der Wind von Süden weht.

Ich saach nit ""Lebwohl""
dat Woot dat klingt wie Hohn
völlig hohl. Maach et joot.

Sieh ich weine auch
Tränen sind wie Rauch
sie vergehn, dieser Käfig macht mich tot.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Nie verlässt man sich ganz
irgendwas von dir geht mit
es hat seinen Platz immer bei mir."
19,Kasalla,Kölsch,Immer noch do,2012,"Hück is widder su ne Ovend
Jung wie schön dich he ze sinn
Wie lag hann mer nit mi jesproche
Ständich in dä Tretmühl drinn
Ejal wie schnell die Welt uch durchdrieht
Hück Naach steht se einfach still
Ich weiß der Wäch der hinger uns lit
Jing nit immer nur jradus
Manchmol flüch ma in dä Himmel
Manchmol lit ma op dä Schnüß
All die Narbe, all die Fehler
Sinn doch uch e Deil von us
Su lang wie ich levve sing ich e Leed
Kumm her ich zeich dir, wie et jeht
Jo, Jo, Jo
Mer sinn immer noch do, do, do
Weil ma su schnell nit kapott jeht
Und weil die Sonn immer widder op jeht
Jo, Jo, JO
Mer sinn immer noch do, do, do
Drink mit mir op dich un mich und en neues Johr
Op dat wat is, dat wat kütt und op dat wat wor
Jung wat mer nit all erläv hann
Und mer hann noch su vill vür
Loss ma nix davon verjesse
Dat bliev he ich schwör et dir
All die kleine Aureblicke, jeder Daach und jede Naach
Su lang wie mer levve singe mer unser Leed
Jo, Jo, Jo
Mer sinn immer noch do, do, do
Weil ma su schnell nit kapott jeht
Und weil die Sonn immer widder op jeht
Jo, Jo, JO
Mer sinn immer noch do, do, do
Drink mit mir op dich un mich und en neues Johr
Op dat wat is, dat wat kütt und op dat wat wor
Na na na, Na na na
Na na na, Na na na
Jo, Jo, Jo
Mer sinn immer noch do, do, do
Weil ma su schnell nit kapott jeht
Und weil die Sonn immer widder op jeht
Jo, Jo, JO
Mer sinn immer noch do, do, do
Drink mit mir op dich un mich
Un dann singe ma:
Jo, Jo, Jo
Mer sinn immer noch do, do, do
Weil ma su schnell nit kapott jeht
Und weil die Sonn immer widder op jeht
Jo, Jo, JO
Mer sinn immer noch do, do, do
Drink mit mir op dich un mich und en neues Johr
Op dat wat is, dat wat kütt und op dat wat wor"
20,Klüngelköpp,Kölsch,Stääne,2009,"Die janze Wellt, han ich jesinn
Ich wullt nur weg, woanders hin
Ich wor jung, hat winnich Jeld
Ich wullt wohin, wo et mir jefällt

Aanjekumme, dat bin ich nie
Woss miestens nit, wat mich su drief
Doch ming Sehnsuch, wo näher dran
Ich jläuv ich fang vun vürre aan

Wenn am Himmel die Stääne danze
Un dr Dom sing Jlocke spillt
Jo dann weiß ich dat ich doheim bin
Jo doheim bin heh am Ring

Wenn am Himmel die Stääne danze
Un dr Dom sing Jlocke spillt
Jo dann weiß ich dat ich doheim bin
Jo doheim bin heh am Ring

Ussjewandert un weg jetrocke
Minsche jon un Minsche kumme
E Stöck vum Hätz blieht für immer heh
Doch dat merkste ez pöh a pöh


Aanjekumme bis do ech dann
Wenn ding Hätz is ohne Jram
Doch für mich do weht et Zick
Ich pack in un jon zoröck"
21,Domstürmer,Hochdeutsch,"Meine Liebe, meine Stadt, mein Verein",2012,"Du bist meine Liebe -
meine Stadt un mein Verein
Es gibt 1 Million Gründe -
um auf dich stolz zu sein
Nur du bist meine Liebe -
meine Stadt un mein Verein
Ich bleib dir ewig treu -
Ich lass dich nie allein

Kölle, do versteihs mich,
et es schön, dat et dich gitt
ich ben met dir verbunge
ich nemm dich üvverall hin met
Ich drag dich deef em Hätze
wie ne Stein vum Mosaik
ben ich vun dir e Stöck



Du bist meine Liebe -
meine Stadt un mein Verein
Es gibt 1 Million Gründe -
um auf dich stolz zu sein
Nur du bist meine Liebe -
meine Stadt un mein Verein
Ich bleib dir ewig treu -
Ich lass dich nie allein

Kölle, ich verstonn dich,
Mer han hee alles schon erläv
Mer sin durch de Höll gegange
un mer kenne der Himmel op der Ääd
Och wann ding Kleid sich ändert
Ding Siel bliev immer glich
Do bes de Welt för mich!

Du bist meine Liebe -
meine Stadt un mein Verein
Es gibt 1 Million Gründe -
um auf dich stolz zu sein
Nur du bist meine Liebe -
meine Stadt un mein Verein
Ich bleib dir ewig treu -
Ich lass dich nie allein

Schon immer gov et Krise,
Do häs se üvverläv
Do schöddels dich,
steihs op un häs dozogeliert
Bliev su weld un bunt,
bes zor letzten Stund
si' mer för dich do

Du bist meine Liebe -
meine Stadt un mein Verein
Es gibt 1 Million Gründe -
um auf dich stolz zu sein
Nur du bist meine Liebe -
meine Stadt un mein Verein
Ich bleib dir ewig treu -
Ich lass dich nie allein
Du bist meine Liebe -
meine Stadt un mein Verein
Es gibt 1 Million Gründe -
um auf dich stolz zu sein
Nur du bist meine Liebe -
meine Stadt un mein Verein
Ich bleib dir ewig treu -
Ich lass dich nie allein
Ich bleib dir ewig treu -
Ich lass dich nie allein"
22,Kasalla,Kölsch,Mer sin eins,2016,"Vun der Südkurv bes zom Nordkrüz
Un vum Pletschbach zom Troodelööh
Vun Wesshoven bes noh Ossheim
Mer zesamme, mer sin Eins
Mer sin Mürer un Chirurge
Rude Funk und schwatzes Schof
Banker, Bischoff, Stroßemädche
Mer sin bunt un mir sin Eins
Mer sin Fäns öm ze jewinne
Op dem Jras un op dem Ies
Mol ens Siejer, ens Verlierer
Drissejal denn mir sin Eins
Denn he do schläät uns Hätz
Vum Aanfang bes zoletz
Un Mer sin jeder vum Mosaik ne Stein
Mer zesamme mer sin eins
Mer sin Arsch Huh un Sartory
Stääneküch un Frittebud
Uns Stadt es dreckig, laut un hektisch
Doch ungerm Staub de Siel is jold
Denn he do schläät uns Hätz
Vum Aanfang bes zoletz
Un Mer sin jeder vum Mosaik ne Stein
Mer zesamme mer sin eins
Denn he do schläät uns Hätz
Vum Aanfang bes zoletz
Un Mer sin jeder vum Mosaik ne Stein
Mer zesamme mer sin eins
Vun der Südkurv bes zom Nordkrüz
Un vum Pletschbach zom Trodelööh
Vun Wesshoven bes noh Ossheim
Mer zesamme, mer sin Eins
Mer zesamme, mer sin Eins"
23,Jupp Schmitz,Hochdeutsch,Wer soll das bezahlen,1949,"Wer soll das bezahlen,
Wer hat das bestellt,
Wer hat so viel Pinke-pinke,
Wer hat so viel Geld?

Sonntags, da sitzt in der Wirtschaft im Eck, 
Immer ein feuchter Verein.
Bis gegen zwölf schenkt der Wirt tüchtig ein, 
Dann wird das Taschengeld spärlich.
Vorigen Sonntag nun brachte der Wirt, 
Runde um Runde herein.
Bis gegen zwei Uhr der ganze Verein
WERBUNG



BY VIDEO REACH

Fragte: Herr Wirt, sag uns ehrlich: 

|: Wer soll das bezahlen,
Wer hat das bestellt,
Wer hat so viel Pinke-pinke,
Wer hat so viel Geld? :|

Kürzlich, da saß ich solide und brav 
Mit meiner Gattin zu Haus.
Plötzlich, da zog meine Gattin sich aus, 
Wollt mich mit Neuem ergötzen.
Was denn, so dachte ich, das kennst du längst ! 
Doch was dann kam, das war neu:
Wäsche und Strümpfe und Schuhe dabei ! 
Da rief ich voller Entsetzen: 

|: Wer soll das bezahlen,
Wer hat das bestellt,
Wer hat so viel Pinke-pinke,
Wer hat so viel Geld? :|"
24,Klaus und Klaus,Hochdeutsch,Der Eiermann,1989,"Klingelingeling Klingelingeling
hier kommt der Eiermann
Klingelingeling
Kommen sie alle, alle an die Eier ran
Bei jung und alt und in der Stadt und auf Dem Land
Sind wir als Eiermann und Eiermann bekannt

Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle alle an die Eier ran
Das sind die allerdicksten Dotter, die man Jemals sah
Unsre Eier die sind Güteklasse A
Unsre Eier die sind Güteklasse A

Jeden Morgen um halb fünf
Manchmal auch noch früher
Stehen wir auf, auf unsrem Hof und wecken Unsre Hühner
Wir locken sie mit putputput
So das sie uns vertrauen
Dann picken sie die Körner und wir können Die Eier klauen



Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle, alle an die Eier ran
Bei jung und alt und in der Stadt und auf Dem Land
Sind wir als Eiermann und Eiermann bekannt

Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle, alle an die Eier ran
Das sind die allerdicksten Dotter, die man Jemals sah
Unsre Eier die sind Güteklasse A
Unsre Eier die sind Güteklasse A

Unser Ei kommt garantiert vom frohen Federvieh
Nicht so schlappe Kugeln aus der Legebatterie
Auf unserm Hof können Hühner noch frei picken und frei kratzen
Wir wünschen Guten Appetit, sie können Ruhig schmatzen

Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle, alle an die Eier ran
Bei jung und alt und in der Stadt und auf Dem Land
Sind wir als Eiermann und Eiermann bekannt

Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle alle an die Eier ran
Das sind die allerdicksten Dotter, die man Jemals sah
Unsre Eier die sind Güteklasse A

Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle, alle an die Eier ran
Bei jung und alt und in der Stadt und auf Dem Land
Sind wir als Eiermann und Eiermann bekannt

Klingelingeling Klingelingeling
Hier kommt der Eiermann
Klingelingeling
Kommen sie alle, alle an die Eier ran
Das sind die allerdicksten Dotter, die man Jemals sah
Unsre Eier die sind Güteklasse A
Unsre Eier die sind Güteklasse A"
25,Höhner,Kölsch,"Mer stonn zo dir, FC Kölle",1998,"Ehrenfeld, Raderthal, Nippes, Poll, Esch, Pesch un Kalk
Üvverall jitt et Fans vom FC Kölle
En Rio, en Rom, Jläbbisch, Prüm un Habbelrath
Üvverall jitt et Fans vum FC Kölle.

Freud oder Leid, Zokunf un Verjangenhejt
E Jeföhl dat verbingk - FC Kölle
Ov vür ov zoröck - neues Spell heiß neues Jlöck
E Jeföhl dat verbingk - FC Kölle

Mer schwöre dir he op Treu un op Iehr:
Mer stonn zo dir FC Kölle
Un mer jon met dir wenn et sin muß durch et Füer
Halde immer nur zo dir FC Kölle!



Ov jung oder alt - ov ärm oder rich
Zesamme simmer stark FC Kölle
Durch dick un durch dünn - janz ejal wohin
Nur zesamme simmer stark FC Kölle

Mer schwöre dir he op Treu un op Iehr:
Mer stonn zo dir FC Kölle
Un mer jon met dir wenn et sin muß durch et Füer
Halde immer nur zo dir FC Kölle!

Mer schwöre dir he op Treu un op Iehr:
Mer stonn zo dir FC Kölle
Un mer jon met dir wenn et sin muß durch et Füer
Halde immer nur zo dir FC Kölle!

Mer schwöre dir he op Treu un op Iehr:
Mer stonn zo dir FC Kölle
Un mer jon met dir wenn et sin muß durch et Füer
Halde immer nur zo dir FC Kölle!"
26,Räuber,Kölsch,Dat is Heimat,2015,"Dat es Heimat, dat es Heimat,
dat es Kölle, rut un wies.
Zweschen Nümaat, Dom un Heumaat,
han mir Kölsche et Paradies.
Wenn m´r durch ding Strosse jeiht
un dä Dom sing Jlocke schläht.
Wo im Wind ding Fahne wehn, rut un wiess dat han mer jään.
Wo die Minsche Kölsch verstonn, weed die Sproch nie ungerjonn.
Dat Jeföhl wenn ich an Kölle denk, kriss de nit jeschenk

Häs de och ding Eijenaat, dat es wat dich eijen maat,
bes us Trümmer opjebaut un manch Fleck han se versaut.
Doch ding Siel, ding Tradition, es für ewig dinge Dom
Du bes Kölle un eins es jewiss, du bes et Paradies."
27,Brings,Kölsch,Su lang mer noch am Lääve sin,2003,"Sulang mer noch am lääve sin 

Mer sin wirklich offe,
mer schwaade nit drömröm,
uns Hätze schlage allsamp
im Rhythmus vun ner Tromm.

Mer drieße jet op Morje,
denn hück do han mer Lauf,
e schläch Jewisse un Sorje,
dat nemme mer in Kauf. 
WERBUNG



BY VIDEO REACH

Su lang mer noch am lääve sin,
am laache, kriesche, danze sin,
su lang - mer noch am lääve sin

Mer sin echt nit kleinlich,
uns kütt et nit drop an,
op du jerade heute,
frisch bis oder klamm.

Mer welle, dat in unsrer Stadt,
jeder glücklich weed,
et jit jet, dat mer üvverall,
op d'r Welt versteiht. 

Su lang mer noch am lääve sin,
am laache, kriesche, danze sin,
su lang - mer noch am lääve sin"
28,Brings,Kölsch,Poppe Kaate Danze,2003,"Arrogant, stinkfaul
Schläch jelaunt, en jroßes Maul
Affjewichs, kleinkariert
Von Jeburt an schon borniert
Fies, hungsjemein
Wenn Jefahr droht klitzeklein
Ordinär, banal
Ohne jegliche Moral


Poppe, Kaate, Danze
Dat kannste, dat kannste
Poppe, Kaate, Danze
Dat kannste
Karrisch un klamm
Immer am Nörjele dran
Op ähnem Auge blind
Wie et Fähnche im Wind
Mit d'r Schnüss janz schnell
Im Kopp nit wirklich hell
In d'r Küch Laminat
Un im Wunnzimmer Brokat
Poppe, Kaate, Danze....
Katholisch om Papier
Weihwasser un Bier
Kromm bis in die Knoche
Un su manches Hätz jebroche
Poppe, Kaate, Danze....."
29,Kasalla,Kölsch,Dausend Levve,2015,"Wenn ich dausend Levve zo lääve hätt
Köm ich dausend Mol nit vun Dir loss
Ich hätt dausend Levve bei Dir jelääv
Ming ahle Stadt am Fluss
Denn he bin ich zohus
Künnt ich mi Levve noch ens levve
Wööd ich nit Alles widder dunn
Ich wööd mich winnijer verbeeje
Un wenn ne Sturm kütt bliev ich stonn
Ich wööd mir nit der Kopp zerbreche
Hür op mi Hätz och in der Nut
Jo ich wööd su vill anders maache
Doch eins is sicher wie der Dud
Jo wenn ich dausend Levve zo lääve hätt
Köm ich dausend Mol nit vun Dir loss
Ich hätt dausend Levve bei Dir jelääv
Ming ahle Stadt am Fluss
Denn he bin ich zohus
Ich hätt ming Mamm met all de Sorje
Nit su off öm der Schlof jebraat
Hätt mingem Papp der Knaatsch verjovve
Ich hätt su jään noch Tschüss jesaat
Un hätt ich mieh wie nur ein Levve
Sull jedes Mol ming Wieje (Weech) he stonn
He will ich dausend Fähler maache
Un dann vun he zom Düvel jonn
Jo wenn ich dausend Levve zo lääve hätt
Kömm ich dausend Mol nit vun Dir loss
Ich hätt dausend Levve bei Dir jelääv
Ming ahle Stadt am Fluss
Jo wenn ich dausend Levve zo lääve hätt
Kömm ich dausend Mol nit vun Dir loss
Ich hätt dausend Levve bei Dir jelääv
Ming ahle Stadt am Fluss
Denn he bin ich zohus
Oho, he bin ich zohus
Dausend Levve lang
Oho, he bin ich zohus
Dausend Levve lang
Oho, he bin ich zohus
Dausend Levve lang
Oho, he bin ich zohus
Dausend Levve lang
Un wenn ich dausend Levve zo lääve hätt
Kömm ich dausend Mol nit vun Dir loss
Ich hätt dausend Levve bei Dir jelääv
Ming ahle Stadt am Fluss
Jo wenn ich dausend Levve zo lääve hätt
Kömm ich dausend Mol nit vun Dir loss
Ich hätt dausend Levve bei Dir jelääv
Ming ahle Stadt am Fluss
Denn he bin ich zohus"
30,Boore,Kölsch,Rut sin de Ruse,2003,"Lur no däm Stän, den ich dir domols jeschenk,
der sollt dir sare, dat ich an dich denk.
Och unsre Boum, der steit noch do, wo ich dat Hätz erin jemaat,
dä Boum, dä hät uns beiden Jlück jebraat.

Rut, rut, rut, rut sin de Ruse, Ruse, die ich an dich verschenke.
Du bis ming Hätz, du bis mie Jlück, du mäst mich immer noch verrück,
och no all denne Johr.

(Ja ja ja ja, ne ne ne ne)

Rut, rut, rut, rut sin de Ruse, Ruse, die ich an dich verschenke.
Du bis ming Hätz, du bis mie Jlück, du mäst mich immer noch verrück,
och no all denne Johr.

Un dräum ich in do Naach dann nur vun dir,
schwebe ich vum Horizont zu dir.
Flejen mir zwei dann durch de Naach, hät unsre Stän uns anjelaach,
mer freuen uns op jeden neuen Daach.

Rut, rut, rut, rut sin de Ruse, Ruse, die ich an dich verschenke.
Du bis ming Hätz, du bis mie Jlück, du mäst mich immer noch verrück,
och no all denne Johr.

(Ja ja ja ja, ne ne ne ne)

Rut, rut, rut, rut sin de Ruse, Ruse, die ich an dich verschenke.
Du bis ming Hätz, du bis mie Jlück, du mäst mich immer noch verrück,
och no all denne Johr."
